ST JOSEPH
20180712
00461,GLOVE YELLOW - DOZEN,2,32.00,64.00,TAX
00509,HOOK SS - 7/8',2,24.00,48.00,
00507,HOOK SS - 3/4',1,28.00,28.00,
00962,SHRIMP SACK,1000,0.32,320.00,
00940,SHACKLE LR - 5/16',10,1.20,12.00,
00935,SHACKLE LR - 1/4',8,1.00,8.00,
00942,SHACKLE LR - 7/16',4,2.20,8.80,
00934,SHACKLE LR - 1/2',4,3.50,14.00,
00941,SHACKLE LR - 5/8',2,8.00,16.00,
00807,RING SS - 5/8',2,17.00,34.00,
00528,KNIFE - PARING WHITE,4,3.00,12.00,
00034,BASKET - PURPLE (LARGE),8,19.00,152.00,
,,,,0.00,
,,,,0.00,
,,,,0.00,

722.08
